date,montant,quantite,heure,type_transaction,is_anomalie
2024-08-19 15:23:57.837837,432479,5,11,vente,0
2025-08-26 17:08:34.285714,4613456,569,1,remboursement,1
2024-04-01 16:57:39.459459,278495,6,15,remboursement,0
2024-03-26 03:07:23.243243,372793,74,10,remboursement,0
2024-08-24 09:23:36.216216,237062,80,14,vente,0
2024-12-21 03:14:35.675675,284309,81,9,remboursement,0
2024-04-29 11:23:14.594594,297926,87,18,vente,0
2024-09-28 02:25:35.135135,58010,35,19,remboursement,0
2024-06-01 17:20:43.243243,378561,41,9,vente,0
2024-05-22 03:03:03.783783,342021,30,10,vente,0
2024-12-25 21:14:14.054054,286608,16,19,achat,0
2025-01-15 20:34:17.142857,2459567,876,4,achat,1
2024-07-06 10:22:42.162162,475076,51,9,remboursement,0
2024-11-13 12:03:36.216216,11704,16,18,vente,0
2024-09-25 21:48:49.729729,294194,32,15,achat,0
2024-11-09 11:36:12.972972,213655,83,12,remboursement,0
2024-06-30 22:50:48.648648,178790,95,13,remboursement,0
2024-05-21 00:44:41.081081,53926,91,13,achat,0
2024-03-11 12:22:20.540540,74687,86,12,vente,0
2024-10-24 18:32:47.567567,127431,63,8,remboursement,0
2024-11-17 12:30:59.459459,269012,20,13,remboursement,0
2024-03-14 10:31:21.081081,192840,35,18,vente,0
2024-06-19 15:00:54.054054,89153,74,11,remboursement,0
2024-01-06 20:18:01.081081,314924,55,10,vente,0
2024-05-08 23:22:31.351351,210993,29,12,vente,0
2024-03-05 16:04:19.459459,5037,35,15,remboursement,0
2024-03-15 12:49:43.783783,300583,56,17,vente,0
2024-11-11 16:12:58.378378,247431,34,9,vente,0
2024-12-15 15:42:42.162162,52850,80,10,remboursement,0
2024-02-01 10:06:50.810810,155714,13,18,vente,0
2024-07-20 16:21:37.297297,310009,42,14,vente,0
2024-04-30 13:41:37.297297,482632,33,8,vente,0
2024-05-25 09:58:11.891891,174808,54,11,remboursement,0
2024-11-20 19:26:07.567567,416742,40,8,vente,0
2024-10-16 17:38:01.081081,371590,32,17,vente,0
2024-01-24 00:25:56.756756,374676,61,10,vente,0
2024-08-25 11:41:58.918918,413366,10,15,vente,0
2024-03-03 20:13:41.621621,233748,71,18,vente,0
2025-04-29 20:34:17.142857,2545844,893,4,achat,1
2024-11-13 20:49:43.783783,45136,19,16,achat,0
2024-11-01 10:41:26.486486,439010,58,9,achat,0
2025-09-25 10:17:08.571428,2608919,666,1,vente,1
2024-09-22 06:07:34.054054,234920,50,16,remboursement,0
2024-08-11 23:15:18.918918,467326,16,16,vente,0
2024-12-09 01:52:25.945945,300761,70,8,vente,0
2024-09-15 07:31:10.270270,425422,88,10,vente,0
2024-09-07 15:22:31.351351,402751,55,10,achat,0
2024-06-14 12:15:08.108108,214486,4,19,remboursement,0
2024-10-23 07:28:17.297297,441367,3,16,vente,0
2024-01-14 21:12:47.567567,468134,72,18,vente,0
2024-05-21 09:30:48.648648,172932,94,10,remboursement,0
2024-02-13 20:15:08.108108,160384,13,16,vente,0
2024-12-28 19:23:14.594594,340689,92,19,vente,0
2024-05-23 05:21:26.486486,250453,7,18,vente,0
2024-05-31 15:02:20.540540,470978,8,19,vente,0
2024-07-29 19:34:46.486486,109733,75,8,achat,0
2024-05-23 14:07:34.054054,86371,49,18,vente,0
2024-06-07 13:38:44.324324,276530,84,15,remboursement,0
2024-07-14 20:03:36.216216,150093,87,10,achat,0
2024-10-15 15:19:38.378378,382784,71,19,remboursement,0
2024-12-28 01:50:59.459459,221877,4,9,remboursement,0
2024-03-30 03:34:46.486486,398852,17,9,achat,0
2024-05-05 07:41:15.675675,95570,41,16,vente,0
2024-01-17 01:49:32.972972,494464,95,12,vente,0
2024-07-13 00:12:58.378378,235822,7,19,vente,0
2024-03-01 15:36:56.216216,333393,63,11,vente,0
2024-02-14 05:01:15.675675,150152,21,17,vente,0
2024-01-19 15:12:25.945945,363243,61,11,remboursement,0
2024-09-20 01:30:48.648648,287081,61,19,vente,0
2024-10-03 13:57:28.648648,55298,7,19,remboursement,0
2024-05-02 00:46:07.567567,489772,29,8,achat,0
2024-01-22 22:07:34.054054,136832,38,18,remboursement,0
2024-11-07 15:45:35.135135,257822,74,14,vente,0
2024-07-15 04:49:43.783783,304087,98,16,achat,0
2024-04-11 22:29:11.351351,264252,51,18,vente,0
2024-10-07 23:10:59.459459,440008,21,15,vente,0
2024-12-08 17:06:18.378378,103662,62,14,vente,0
2024-01-03 22:09:00.540540,443528,40,9,achat,0
2024-01-28 09:39:27.567567,84472,13,10,vente,0
2024-02-21 03:37:39.459459,417106,69,19,vente,0
2024-07-26 21:25:45.945945,455491,80,12,remboursement,0
2024-05-17 00:17:17.837837,171129,93,9,achat,0
2024-10-30 14:50:48.648648,25968,57,15,achat,0
2024-09-25 13:02:42.162162,142852,29,12,vente,0
2024-07-23 23:16:45.405405,490260,80,14,vente,0
2024-06-02 02:06:50.810810,402527,30,16,remboursement,0
2024-05-13 08:36:02.162162,171866,92,8,vente,0
2024-06-21 10:51:31.891891,82442,84,14,vente,0
2024-07-29 10:48:38.918918,405022,26,13,remboursement,0
2024-08-21 02:28:28.108108,62730,86,11,achat,0
2024-10-09 01:29:22.162162,246084,58,11,achat,0
2024-04-09 17:52:25.945945,150439,76,16,remboursement,0
2024-10-25 20:51:10.270270,163988,87,13,achat,0
2024-04-05 08:38:55.135135,78309,77,18,remboursement,0
2024-12-25 03:41:58.918918,462310,24,8,vente,0
2024-09-19 07:58:33.513513,369709,71,16,vente,0
2024-01-27 16:07:12.432432,21105,48,18,remboursement,0
2024-02-09 11:01:37.297297,86060,72,8,achat,0
2024-01-15 05:58:55.135135,199227,14,11,vente,0
2024-12-17 20:19:27.567567,9576,72,17,achat,0
2024-01-25 11:30:27.027027,324065,61,18,vente,0
2024-10-17 19:56:23.783783,110509,69,14,achat,0
2024-08-30 14:27:44.864864,248480,48,8,vente,0
2024-08-06 02:57:17.837837,144045,66,8,vente,0
2024-06-12 16:24:30.270270,19260,88,10,vente,0
2024-01-07 05:04:08.648648,193210,75,9,vente,0
2024-09-03 14:55:08.108108,466328,59,15,remboursement,0
2024-11-14 05:35:51.351351,72507,6,18,remboursement,0
2024-04-18 03:33:20.000000,72381,11,13,remboursement,0
2024-04-27 15:32:36.756756,250840,40,10,achat,0
2024-11-29 05:07:01.621621,221351,26,8,achat,0
2024-01-31 16:34:35.675675,90001,55,15,achat,0
2024-01-23 06:53:41.621621,29142,33,8,vente,0
2024-03-08 14:13:20.000000,39600,84,10,achat,0
2024-03-23 13:44:30.270270,386361,80,11,vente,0
2024-10-29 12:32:25.945945,321855,17,13,vente,0
2024-06-17 01:38:01.081081,60479,10,18,remboursement,0
2024-10-11 06:06:07.567567,297164,65,12,achat,0
2024-11-10 22:40:43.243243,197828,9,13,remboursement,0
2024-12-03 05:34:24.864864,395300,63,17,achat,0
2024-08-29 03:23:14.594594,358351,59,14,achat,0
2024-10-06 20:52:36.756756,471705,26,11,remboursement,0
2024-11-18 06:03:14.594594,391106,36,18,achat,0
2024-07-31 15:25:24.324324,306364,74,10,vente,0
2024-04-03 21:34:24.864864,247264,88,11,vente,0
2024-01-20 17:30:48.648648,446144,65,12,remboursement,0
2024-12-05 18:57:17.837837,361930,37,13,vente,0
2024-05-20 07:12:25.945945,443655,26,13,achat,0
2024-10-25 12:05:02.702702,199904,52,14,vente,0
2024-04-08 15:34:03.243243,342931,35,16,achat,0
2024-03-08 22:59:27.567567,184357,95,13,achat,0
2025-05-07 06:51:25.714285,3244119,651,2,vente,1
2024-08-08 16:20:10.810810,167357,42,18,remboursement,0
2024-05-09 16:54:46.486486,376024,36,8,vente,0
2024-05-29 10:25:35.135135,91038,13,19,achat,0
2024-06-29 20:32:25.945945,310428,33,19,remboursement,0
2024-11-26 15:44:08.648648,442455,19,19,achat,0
2025-05-14 17:08:34.285714,4015935,859,1,remboursement,1
2024-08-27 07:32:36.756756,211271,63,16,achat,0
2024-10-18 04:42:31.351351,360752,62,15,vente,0
2024-04-07 13:15:40.540540,493121,27,11,vente,0
2024-10-18 13:28:38.918918,119310,4,15,vente,0
2024-12-29 21:41:37.297297,134188,92,13,remboursement,0
2024-11-15 16:40:21.621621,147513,42,16,remboursement,0
2024-01-29 11:57:50.270270,83097,57,19,vente,0
2024-04-24 08:37:28.648648,345611,95,14,vente,0
2024-05-04 05:22:52.972972,363332,23,17,achat,0
2024-10-28 01:27:55.675675,309866,64,11,remboursement,0
2024-11-27 09:16:23.783783,229065,31,19,vente,0
2024-08-27 16:18:44.324324,41948,56,15,remboursement,0
2024-02-03 23:29:43.783783,119614,65,16,remboursement,0
2024-09-16 01:03:25.405405,300966,47,9,vente,0
2024-05-08 14:36:23.783783,237061,19,14,vente,0
2025-09-03 03:25:42.857142,2072356,911,1,remboursement,1
2024-10-06 12:06:29.189189,324055,84,15,remboursement,0
2024-09-13 11:40:32.432432,207199,1,16,achat,0
2024-08-12 08:01:26.486486,237695,54,15,achat,0
2024-04-14 03:05:56.756756,427534,65,12,remboursement,0
2024-07-12 06:40:43.243243,140222,66,12,remboursement,0
2024-02-22 23:28:17.297297,156756,69,18,remboursement,0
2024-06-13 09:56:45.405405,268218,27,14,remboursement,0
2024-10-02 02:52:58.378378,391055,89,17,vente,0
2024-12-30 06:27:44.864864,213150,81,17,achat,0
2024-01-07 13:50:16.216216,226454,81,15,achat,0
2024-08-02 02:29:54.594594,67576,52,16,vente,0
2024-04-30 22:27:44.864864,467251,55,16,vente,0
2024-09-12 18:08:17.297297,249697,57,9,remboursement,0
2024-12-18 05:05:35.135135,162779,71,18,remboursement,0
2024-06-24 09:00:32.432432,341860,89,9,achat,0
2024-11-12 18:31:21.081081,69373,9,13,vente,0
2024-07-26 12:39:38.378378,413124,74,10,vente,0
2024-03-10 10:03:57.837837,262351,47,18,vente,0
2024-03-09 07:45:35.135135,198080,4,17,achat,0
2024-09-08 08:54:46.486486,52367,19,15,achat,0
2024-07-27 14:58:01.081081,447263,22,16,vente,0
2024-03-03 11:27:34.054054,322499,39,12,vente,0
2024-08-03 13:34:24.864864,325974,89,19,achat,0
2024-05-16 15:31:10.270270,258105,68,19,remboursement,0
2024-06-14 21:01:15.675675,151192,13,8,achat,0
2024-06-24 00:14:24.864864,386116,93,19,achat,0
2024-02-29 13:18:33.513513,493511,97,16,achat,0
2024-09-14 05:12:47.567567,414442,97,11,remboursement,0
