date,ventes,jour_semaine,mois,jour_mois,trimestre
2023-06-22,128183,3,6,22,2
2023-06-23,131994,4,6,23,2
2023-06-24,130976,5,6,24,2
2023-06-25,136106,6,6,25,2
2023-06-26,127589,0,6,26,2
2023-06-27,141618,1,6,27,2
2023-06-28,124058,2,6,28,2
2023-06-29,153528,3,6,29,2
2023-06-30,132204,4,6,30,2
2023-07-01,116997,5,7,1,3
2023-07-02,114480,6,7,2,3
2023-07-03,129635,0,7,3,3
2023-07-04,122196,1,7,4,3
2023-07-05,131191,2,7,5,3
2023-07-06,128405,3,7,6,3
2023-07-07,122566,4,7,7,3
2023-07-08,114449,5,7,8,3
2023-07-09,107392,6,7,9,3
2023-07-10,117699,0,7,10,3
2023-07-11,130354,1,7,11,3
2023-07-12,123558,2,7,12,3
2023-07-13,108587,3,7,13,3
2023-07-14,122406,4,7,14,3
2023-07-15,124159,5,7,15,3
2023-07-16,111101,6,7,16,3
2023-07-17,121112,0,7,17,3
2023-07-18,119795,1,7,18,3
2023-07-19,107423,2,7,19,3
2023-07-20,122073,3,7,20,3
2023-07-21,123748,4,7,21,3
2023-07-22,128619,5,7,22,3
2023-07-23,127977,6,7,23,3
2023-07-24,103317,0,7,24,3
2023-07-25,107372,1,7,25,3
2023-07-26,121561,2,7,26,3
2023-07-27,121213,3,7,27,3
2023-07-28,120893,4,7,28,3
2023-07-29,153941,5,7,29,3
2023-07-30,120798,6,7,30,3
2023-07-31,126124,0,7,31,3
2023-08-01,123992,1,8,1,3
2023-08-02,120654,2,8,2,3
2023-08-03,110680,3,8,3,3
2023-08-04,121119,4,8,4,3
2023-08-05,105503,5,8,5,3
2023-08-06,110570,6,8,6,3
2023-08-07,107796,0,8,7,3
2023-08-08,113185,1,8,8,3
2023-08-09,135234,2,8,9,3
2023-08-10,93142,3,8,10,3
2023-08-11,118410,4,8,11,3
2023-08-12,95159,5,8,12,3
2023-08-13,106310,6,8,13,3
2023-08-14,121669,0,8,14,3
2023-08-15,111178,1,8,15,3
2023-08-16,99520,2,8,16,3
2023-08-17,102912,3,8,17,3
2023-08-18,116635,4,8,18,3
2023-08-19,102316,5,8,19,3
2023-08-20,111571,6,8,20,3
2023-08-21,109656,0,8,21,3
2023-08-22,102485,1,8,22,3
2023-08-23,130247,2,8,23,3
2023-08-24,114961,3,8,24,3
2023-08-25,88191,4,8,25,3
2023-08-26,110135,5,8,26,3
2023-08-27,101488,6,8,27,3
2023-08-28,116473,0,8,28,3
2023-08-29,99873,1,8,29,3
2023-08-30,106508,2,8,30,3
2023-08-31,112570,3,8,31,3
2023-09-01,116050,4,9,1,3
2023-09-02,95270,5,9,2,3
2023-09-03,103816,6,9,3,3
2023-09-04,102307,0,9,4,3
2023-09-05,100427,1,9,5,3
2023-09-06,124526,2,9,6,3
2023-09-07,110841,3,9,7,3
2023-09-08,94110,4,9,8,3
2023-09-09,115833,5,9,9,3
2023-09-10,127820,6,9,10,3
2023-09-11,116875,0,9,11,3
2023-09-12,91317,1,9,12,3
2023-09-13,101638,2,9,13,3
2023-09-14,119127,3,9,14,3
2023-09-15,99367,4,9,15,3
2023-09-16,110876,5,9,16,3
2023-09-17,114187,6,9,17,3
2023-09-18,97183,0,9,18,3
2023-09-19,105877,1,9,19,3
2023-09-20,74089,2,9,20,3
2023-09-21,96295,3,9,21,3
2023-09-22,104060,4,9,22,3
2023-09-23,94163,5,9,23,3
2023-09-24,123029,6,9,24,3
2023-09-25,92476,0,9,25,3
2023-09-26,102458,1,9,26,3
2023-09-27,108256,2,9,27,3
2023-09-28,121461,3,9,28,3
2023-09-29,92798,4,9,29,3
2023-09-30,118905,5,9,30,3
2023-10-01,107502,6,10,1,4
2023-10-02,97719,0,10,2,4
2023-10-03,112299,1,10,3,4
2023-10-04,109821,2,10,4,4
2023-10-05,101989,3,10,5,4
2023-10-06,108860,4,10,6,4
2023-10-07,104488,5,10,7,4
2023-10-08,109664,6,10,8,4
2023-10-09,115347,0,10,9,4
2023-10-10,124792,1,10,10,4
2023-10-11,96768,2,10,11,4
2023-10-12,130700,3,10,12,4
2023-10-13,90081,4,10,13,4
2023-10-14,108324,5,10,14,4
2023-10-15,115975,6,10,15,4
2023-10-16,113160,0,10,16,4
2023-10-17,104389,1,10,17,4
2023-10-18,108810,2,10,18,4
2023-10-19,106245,3,10,19,4
2023-10-20,105574,4,10,20,4
2023-10-21,120265,5,10,21,4
2023-10-22,115648,6,10,22,4
2023-10-23,105466,0,10,23,4
2023-10-24,121717,1,10,24,4
2023-10-25,116128,2,10,25,4
2023-10-26,121526,3,10,26,4
2023-10-27,120044,4,10,27,4
2023-10-28,105817,5,10,28,4
2023-10-29,108871,6,10,29,4
2023-10-30,122320,0,10,30,4
2023-10-31,121333,1,10,31,4
2023-11-01,115411,2,11,1,4
2023-11-02,117191,3,11,2,4
2023-11-03,129199,4,11,3,4
2023-11-04,110920,5,11,4,4
2023-11-05,122727,6,11,5,4
2023-11-06,115662,0,11,6,4
2023-11-07,115942,1,11,7,4
2023-11-08,129549,2,11,8,4
2023-11-09,127265,3,11,9,4
2023-11-10,127602,4,11,10,4
2023-11-11,132986,5,11,11,4
2023-11-12,120611,6,11,12,4
2023-11-13,127698,0,11,13,4
2023-11-14,118259,1,11,14,4
2023-11-15,125093,2,11,15,4
2023-11-16,121047,3,11,16,4
2023-11-17,123821,4,11,17,4
2023-11-18,129312,5,11,18,4
2023-11-19,115694,6,11,19,4
2023-11-20,145321,0,11,20,4
2023-11-21,114864,1,11,21,4
2023-11-22,113315,2,11,22,4
2023-11-23,137577,3,11,23,4
2023-11-24,134456,4,11,24,4
2023-11-25,133330,5,11,25,4
2023-11-26,133927,6,11,26,4
2023-11-27,128081,0,11,27,4
2023-11-28,119796,1,11,28,4
2023-11-29,130097,2,11,29,4
2023-11-30,123142,3,11,30,4
2023-12-01,140244,4,12,1,4
2023-12-02,129606,5,12,2,4
2023-12-03,123410,6,12,3,4
2023-12-04,129044,0,12,4,4
2023-12-05,136983,1,12,5,4
2023-12-06,127817,2,12,6,4
2023-12-07,125837,3,12,7,4
2023-12-08,137104,4,12,8,4
2023-12-09,137729,5,12,9,4
2023-12-10,130825,6,12,10,4
2023-12-11,131802,0,12,11,4
2023-12-12,139455,1,12,12,4
2023-12-13,123278,2,12,13,4
2023-12-14,124311,3,12,14,4
2023-12-15,131832,4,12,15,4
2023-12-16,137515,5,12,16,4
2023-12-17,143393,6,12,17,4
2023-12-18,155675,0,12,18,4
2023-12-19,150138,1,12,19,4
2023-12-20,140603,2,12,20,4
2023-12-21,142656,3,12,21,4
2023-12-22,133466,4,12,22,4
2023-12-23,143952,5,12,23,4
2023-12-24,141899,6,12,24,4
2023-12-25,148662,0,12,25,4
2023-12-26,137812,1,12,26,4
2023-12-27,151929,2,12,27,4
2023-12-28,162715,3,12,28,4
2023-12-29,146952,4,12,29,4
2023-12-30,152710,5,12,30,4
2023-12-31,156248,6,12,31,4
2024-01-01,145987,0,1,1,1
2024-01-02,152894,1,1,2,1
2024-01-03,151432,2,1,3,1
2024-01-04,152936,3,1,4,1
2024-01-05,144881,4,1,5,1
2024-01-06,153508,5,1,6,1
2024-01-07,158894,6,1,7,1
2024-01-08,169076,0,1,8,1
2024-01-09,164806,1,1,9,1
2024-01-10,177393,2,1,10,1
2024-01-11,148835,3,1,11,1
2024-01-12,165876,4,1,12,1
2024-01-13,159630,5,1,13,1
2024-01-14,180336,6,1,14,1
2024-01-15,150995,0,1,15,1
2024-01-16,151318,1,1,16,1
2024-01-17,154356,2,1,17,1
2024-01-18,139744,3,1,18,1
2024-01-19,156355,4,1,19,1
2024-01-20,154649,5,1,20,1
2024-01-21,164369,6,1,21,1
2024-01-22,166904,0,1,22,1
2024-01-23,182867,1,1,23,1
2024-01-24,174224,2,1,24,1
2024-01-25,159563,3,1,25,1
2024-01-26,156956,4,1,26,1
2024-01-27,171464,5,1,27,1
2024-01-28,153943,6,1,28,1
2024-01-29,186056,0,1,29,1
2024-01-30,180129,1,1,30,1
2024-01-31,164231,2,1,31,1
2024-02-01,152375,3,2,1,1
2024-02-02,183624,4,2,2,1
2024-02-03,169515,5,2,3,1
2024-02-04,183608,6,2,4,1
2024-02-05,155851,0,2,5,1
2024-02-06,166361,1,2,6,1
2024-02-07,172962,2,2,7,1
2024-02-08,173929,3,2,8,1
2024-02-09,169503,4,2,9,1
2024-02-10,180770,5,2,10,1
2024-02-11,164399,6,2,11,1
2024-02-12,174178,0,2,12,1
2024-02-13,177326,1,2,13,1
2024-02-14,181783,2,2,14,1
2024-02-15,184264,3,2,15,1
2024-02-16,166404,4,2,16,1
2024-02-17,162806,5,2,17,1
2024-02-18,191414,6,2,18,1
2024-02-19,182444,0,2,19,1
2024-02-20,172113,1,2,20,1
2024-02-21,195580,2,2,21,1
2024-02-22,181688,3,2,22,1
2024-02-23,192781,4,2,23,1
2024-02-24,182113,5,2,24,1
2024-02-25,202487,6,2,25,1
2024-02-26,199868,0,2,26,1
2024-02-27,180253,1,2,27,1
2024-02-28,192879,2,2,28,1
2024-02-29,190030,3,2,29,1
2024-03-01,197668,4,3,1,1
2024-03-02,174730,5,3,2,1
2024-03-03,191630,6,3,3,1
2024-03-04,195736,0,3,4,1
2024-03-05,167939,1,3,5,1
2024-03-06,174060,2,3,6,1
2024-03-07,165859,3,3,7,1
2024-03-08,183907,4,3,8,1
2024-03-09,194119,5,3,9,1
2024-03-10,202301,6,3,10,1
2024-03-11,188345,0,3,11,1
2024-03-12,204207,1,3,12,1
2024-03-13,174429,2,3,13,1
2024-03-14,171497,3,3,14,1
2024-03-15,188268,4,3,15,1
2024-03-16,192948,5,3,16,1
2024-03-17,189056,6,3,17,1
2024-03-18,168975,0,3,18,1
2024-03-19,189016,1,3,19,1
2024-03-20,177112,2,3,20,1
2024-03-21,197094,3,3,21,1
2024-03-22,194296,4,3,22,1
2024-03-23,181454,5,3,23,1
2024-03-24,185929,6,3,24,1
2024-03-25,180681,0,3,25,1
2024-03-26,190843,1,3,26,1
2024-03-27,201209,2,3,27,1
2024-03-28,181980,3,3,28,1
2024-03-29,197048,4,3,29,1
2024-03-30,186866,5,3,30,1
2024-03-31,184393,6,3,31,1
2024-04-01,191395,0,4,1,2
2024-04-02,182247,1,4,2,2
2024-04-03,187189,2,4,3,2
2024-04-04,180864,3,4,4,2
2024-04-05,212598,4,4,5,2
2024-04-06,193403,5,4,6,2
2024-04-07,186143,6,4,7,2
2024-04-08,195362,0,4,8,2
2024-04-09,192171,1,4,9,2
2024-04-10,191149,2,4,10,2
2024-04-11,199555,3,4,11,2
2024-04-12,201035,4,4,12,2
2024-04-13,188192,5,4,13,2
2024-04-14,187768,6,4,14,2
2024-04-15,190796,0,4,15,2
2024-04-16,170539,1,4,16,2
2024-04-17,178409,2,4,17,2
2024-04-18,207224,3,4,18,2
2024-04-19,209991,4,4,19,2
2024-04-20,191028,5,4,20,2
2024-04-21,199253,6,4,21,2
2024-04-22,196561,0,4,22,2
2024-04-23,224189,1,4,23,2
2024-04-24,204540,2,4,24,2
2024-04-25,192001,3,4,25,2
2024-04-26,183653,4,4,26,2
2024-04-27,177063,5,4,27,2
2024-04-28,195074,6,4,28,2
2024-04-29,185379,0,4,29,2
2024-04-30,178616,1,4,30,2
2024-05-01,186260,2,5,1,2
2024-05-02,181791,3,5,2,2
2024-05-03,209350,4,5,3,2
2024-05-04,201160,5,5,4,2
2024-05-05,192121,6,5,5,2
2024-05-06,206850,0,5,6,2
2024-05-07,192667,1,5,7,2
2024-05-08,183115,2,5,8,2
2024-05-09,206787,3,5,9,2
2024-05-10,196766,4,5,10,2
2024-05-11,180819,5,5,11,2
2024-05-12,189095,6,5,12,2
2024-05-13,182043,0,5,13,2
2024-05-14,176764,1,5,14,2
2024-05-15,199641,2,5,15,2
2024-05-16,209254,3,5,16,2
2024-05-17,175948,4,5,17,2
2024-05-18,195332,5,5,18,2
2024-05-19,182957,6,5,19,2
2024-05-20,184348,0,5,20,2
2024-05-21,183045,1,5,21,2
2024-05-22,180073,2,5,22,2
2024-05-23,188937,3,5,23,2
2024-05-24,179875,4,5,24,2
2024-05-25,190616,5,5,25,2
2024-05-26,187131,6,5,26,2
2024-05-27,184960,0,5,27,2
2024-05-28,177986,1,5,28,2
2024-05-29,181000,2,5,29,2
2024-05-30,194023,3,5,30,2
2024-05-31,191175,4,5,31,2
2024-06-01,176083,5,6,1,2
2024-06-02,186540,6,6,2,2
2024-06-03,192744,0,6,3,2
2024-06-04,168216,1,6,4,2
2024-06-05,190019,2,6,5,2
2024-06-06,177630,3,6,6,2
2024-06-07,189630,4,6,7,2
2024-06-08,175955,5,6,8,2
2024-06-09,165200,6,6,9,2
2024-06-10,166630,0,6,10,2
2024-06-11,183040,1,6,11,2
2024-06-12,184808,2,6,12,2
2024-06-13,172815,3,6,13,2
2024-06-14,187890,4,6,14,2
2024-06-15,164531,5,6,15,2
2024-06-16,180125,6,6,16,2
2024-06-17,168314,0,6,17,2
2024-06-18,173541,1,6,18,2
2024-06-19,180167,2,6,19,2
2024-06-20,170720,3,6,20,2
2024-06-21,175109,4,6,21,2
2024-06-22,188645,5,6,22,2
2024-06-23,172440,6,6,23,2
2024-06-24,186191,0,6,24,2
2024-06-25,166162,1,6,25,2
2024-06-26,182380,2,6,26,2
2024-06-27,191120,3,6,27,2
2024-06-28,151610,4,6,28,2
2024-06-29,167979,5,6,29,2
2024-06-30,181339,6,6,30,2
2024-07-01,173159,0,7,1,3
2024-07-02,178521,1,7,2,3
2024-07-03,168391,2,7,3,3
2024-07-04,174917,3,7,4,3
2024-07-05,172116,4,7,5,3
2024-07-06,184972,5,7,6,3
2024-07-07,175461,6,7,7,3
2024-07-08,175916,0,7,8,3
2024-07-09,168046,1,7,9,3
2024-07-10,166914,2,7,10,3
2024-07-11,167091,3,7,11,3
2024-07-12,174989,4,7,12,3
2024-07-13,166465,5,7,13,3
2024-07-14,173204,6,7,14,3
2024-07-15,190694,0,7,15,3
2024-07-16,178286,1,7,16,3
2024-07-17,165953,2,7,17,3
2024-07-18,180865,3,7,18,3
2024-07-19,164415,4,7,19,3
2024-07-20,147759,5,7,20,3
2024-07-21,157708,6,7,21,3
2024-07-22,148731,0,7,22,3
2024-07-23,163578,1,7,23,3
2024-07-24,166935,2,7,24,3
2024-07-25,183175,3,7,25,3
2024-07-26,169344,4,7,26,3
2024-07-27,163552,5,7,27,3
2024-07-28,173708,6,7,28,3
2024-07-29,142978,0,7,29,3
2024-07-30,167125,1,7,30,3
2024-07-31,172161,2,7,31,3
2024-08-01,149354,3,8,1,3
2024-08-02,175270,4,8,2,3
2024-08-03,166915,5,8,3,3
2024-08-04,159078,6,8,4,3
2024-08-05,169266,0,8,5,3
2024-08-06,185356,1,8,6,3
2024-08-07,164185,2,8,7,3
2024-08-08,164570,3,8,8,3
2024-08-09,157221,4,8,9,3
2024-08-10,153049,5,8,10,3
2024-08-11,169589,6,8,11,3
2024-08-12,152469,0,8,12,3
2024-08-13,161495,1,8,13,3
2024-08-14,155759,2,8,14,3
2024-08-15,165087,3,8,15,3
2024-08-16,163401,4,8,16,3
2024-08-17,170214,5,8,17,3
2024-08-18,154519,6,8,18,3
2024-08-19,156708,0,8,19,3
2024-08-20,149413,1,8,20,3
2024-08-21,154558,2,8,21,3
2024-08-22,162581,3,8,22,3
2024-08-23,166192,4,8,23,3
2024-08-24,149221,5,8,24,3
2024-08-25,166967,6,8,25,3
2024-08-26,171662,0,8,26,3
2024-08-27,162083,1,8,27,3
2024-08-28,176566,2,8,28,3
2024-08-29,149918,3,8,29,3
2024-08-30,145074,4,8,30,3
2024-08-31,139606,5,8,31,3
2024-09-01,172233,6,9,1,3
2024-09-02,163704,0,9,2,3
2024-09-03,156501,1,9,3,3
2024-09-04,159760,2,9,4,3
2024-09-05,145617,3,9,5,3
2024-09-06,181248,4,9,6,3
2024-09-07,158011,5,9,7,3
2024-09-08,157748,6,9,8,3
2024-09-09,163856,0,9,9,3
2024-09-10,161361,1,9,10,3
2024-09-11,158750,2,9,11,3
2024-09-12,148575,3,9,12,3
2024-09-13,161172,4,9,13,3
2024-09-14,175264,5,9,14,3
2024-09-15,169892,6,9,15,3
2024-09-16,172373,0,9,16,3
2024-09-17,151340,1,9,17,3
2024-09-18,146577,2,9,18,3
2024-09-19,155244,3,9,19,3
2024-09-20,157096,4,9,20,3
2024-09-21,167527,5,9,21,3
2024-09-22,139716,6,9,22,3
2024-09-23,172000,0,9,23,3
2024-09-24,155197,1,9,24,3
2024-09-25,152590,2,9,25,3
2024-09-26,146828,3,9,26,3
2024-09-27,140500,4,9,27,3
2024-09-28,165388,5,9,28,3
2024-09-29,158007,6,9,29,3
2024-09-30,144500,0,9,30,3
2024-10-01,144583,1,10,1,4
2024-10-02,154320,2,10,2,4
2024-10-03,174520,3,10,3,4
2024-10-04,155396,4,10,4,4
2024-10-05,143131,5,10,5,4
2024-10-06,155884,6,10,6,4
2024-10-07,155802,0,10,7,4
2024-10-08,131757,1,10,8,4
2024-10-09,158389,2,10,9,4
2024-10-10,156837,3,10,10,4
2024-10-11,166331,4,10,11,4
2024-10-12,178091,5,10,12,4
2024-10-13,171108,6,10,13,4
2024-10-14,157403,0,10,14,4
2024-10-15,149284,1,10,15,4
2024-10-16,186350,2,10,16,4
2024-10-17,161484,3,10,17,4
2024-10-18,161315,4,10,18,4
2024-10-19,161227,5,10,19,4
2024-10-20,163749,6,10,20,4
2024-10-21,160634,0,10,21,4
2024-10-22,156659,1,10,22,4
2024-10-23,157253,2,10,23,4
2024-10-24,162728,3,10,24,4
2024-10-25,157963,4,10,25,4
2024-10-26,156620,5,10,26,4
2024-10-27,165171,6,10,27,4
2024-10-28,161923,0,10,28,4
2024-10-29,179887,1,10,29,4
2024-10-30,138720,2,10,30,4
2024-10-31,176535,3,10,31,4
2024-11-01,178478,4,11,1,4
2024-11-02,145689,5,11,2,4
2024-11-03,163409,6,11,3,4
2024-11-04,163542,0,11,4,4
2024-11-05,153609,1,11,5,4
2024-11-06,160341,2,11,6,4
2024-11-07,157456,3,11,7,4
2024-11-08,186534,4,11,8,4
2024-11-09,178824,5,11,9,4
2024-11-10,182646,6,11,10,4
2024-11-11,177618,0,11,11,4
2024-11-12,159587,1,11,12,4
2024-11-13,166116,2,11,13,4
2024-11-14,176746,3,11,14,4
2024-11-15,160127,4,11,15,4
2024-11-16,179981,5,11,16,4
2024-11-17,170957,6,11,17,4
2024-11-18,170128,0,11,18,4
2024-11-19,181507,1,11,19,4
2024-11-20,179367,2,11,20,4
2024-11-21,171847,3,11,21,4
2024-11-22,187589,4,11,22,4
2024-11-23,165729,5,11,23,4
2024-11-24,183249,6,11,24,4
2024-11-25,183575,0,11,25,4
2024-11-26,175108,1,11,26,4
2024-11-27,182030,2,11,27,4
2024-11-28,166828,3,11,28,4
2024-11-29,189154,4,11,29,4
2024-11-30,178644,5,11,30,4
2024-12-01,175849,6,12,1,4
2024-12-02,192155,0,12,2,4
2024-12-03,175214,1,12,3,4
2024-12-04,168769,2,12,4,4
2024-12-05,167888,3,12,5,4
2024-12-06,190119,4,12,6,4
2024-12-07,171863,5,12,7,4
2024-12-08,202827,6,12,8,4
2024-12-09,165075,0,12,9,4
2024-12-10,203477,1,12,10,4
2024-12-11,189244,2,12,11,4
2024-12-12,186792,3,12,12,4
2024-12-13,182937,4,12,13,4
2024-12-14,193008,5,12,14,4
2024-12-15,189273,6,12,15,4
2024-12-16,201317,0,12,16,4
2024-12-17,192064,1,12,17,4
2024-12-18,193064,2,12,18,4
2024-12-19,188566,3,12,19,4
2024-12-20,192276,4,12,20,4
2024-12-21,196569,5,12,21,4
2024-12-22,177036,6,12,22,4
2024-12-23,181303,0,12,23,4
2024-12-24,202867,1,12,24,4
2024-12-25,197793,2,12,25,4
2024-12-26,194896,3,12,26,4
2024-12-27,197572,4,12,27,4
2024-12-28,201516,5,12,28,4
2024-12-29,193295,6,12,29,4
2024-12-30,191563,0,12,30,4
2024-12-31,201958,1,12,31,4
